City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Baoying,CN,33.2292,119.3092,85.93,62,74,11.14,broken clouds
80,Dolgoye,RU,52.8,37.2167,60.04,95,1,3.8,clear sky
81,Luganville,VU,-15.5333,167.1667,78.75,67,37,11.34,scattered clouds
82,Puerto Narino,CO,-3.7703,-70.3831,71.55,80,22,0.25,few clouds
83,Arraial Do Cabo,BR,-22.9661,-42.0278,65.46,76,33,10.04,scattered clouds
84,Husavik,IS,66.0449,-17.3389,51.67,83,96,1.99,overcast clouds
85,Luderitz,NA,-26.6481,15.1594,58.41,61,0,7.11,clear sky
86,Agirish,RU,61.9247,63.0231,57.92,86,98,7.81,overcast clouds
87,Makakilo City,US,21.3469,-158.0858,84.52,51,75,9.22,broken clouds
88,Novyy Urengoy,RU,66.0833,76.6333,47.1,80,100,24.72,overcast clouds
89,Leningradskiy,RU,69.3833,178.4167,38.53,79,93,8.66,overcast clouds
90,Hovd,MN,48.0056,91.6419,58.37,64,100,6.24,overcast clouds
91,Atar,MR,20.5169,-13.0499,88.48,23,6,6.96,clear sky
92,Castro,BR,-24.7911,-50.0119,42.84,99,20,6.08,few clouds
93,Ipilan,PH,8.8431,117.9033,84.56,70,97,0.49,overcast clouds
94,Chokurdakh,RU,70.6333,147.9167,64.56,28,3,13.44,clear sky
95,Cherskiy,RU,68.75,161.3,59.99,28,9,5.61,clear sky
96,Xuddur,SO,4.1213,43.8894,68.56,71,61,19.75,broken clouds
97,Hamilton,US,39.1834,-84.5333,73.11,94,1,3.44,clear sky
98,Port Lincoln,AU,-34.7333,135.8667,54.39,53,76,23.17,broken clouds
99,Filingue,NE,14.3521,3.3168,87.64,45,7,12.3,clear sky
100,Ulaangom,MN,49.9811,92.0667,64.2,44,65,10.83,broken clouds
101,Beringovskiy,RU,63.05,179.3167,36.57,97,100,22.32,moderate rain
102,Thompson,CA,55.7435,-97.8558,92.34,35,36,10.94,scattered clouds
103,Vardo,NO,70.3705,31.1107,52.84,71,13,26.06,few clouds
104,Guymon,US,36.6828,-101.4816,68.02,100,90,9.22,overcast clouds
105,Esso,RU,55.9333,158.7,64.45,55,83,8.12,light rain
106,Gat,IL,31.61,34.7642,79.39,84,0,3.06,clear sky
107,Genhe,CN,50.7833,121.5167,58.89,88,100,9.04,moderate rain
108,Khandyga,RU,62.6667,135.6,89.04,24,53,3.49,broken clouds
109,La Ronge,CA,55.1001,-105.2842,82.78,34,0,11.5,clear sky
110,Pelym,RU,61.0108,61.9978,67.73,75,73,9.06,broken clouds
111,Vila Velha,BR,-20.3297,-40.2925,64.81,77,44,8.05,scattered clouds
112,Black River,JM,18.0264,-77.8487,82.4,82,15,3.67,few clouds
113,Chuy,UY,-33.6971,-53.4616,52.05,95,98,8.19,overcast clouds
114,Kaitangata,NZ,-46.2817,169.8464,46.92,72,12,2.98,few clouds
115,Upernavik,GL,72.7868,-56.1549,39.49,88,100,27.6,light rain
116,Bengkulu,ID,-3.8004,102.2655,81.88,64,95,3.89,overcast clouds
117,Tuy Hoa,VN,13.0833,109.3,91.08,51,5,7.49,clear sky
118,Faya,SA,18.3851,42.4509,66.72,48,33,3.91,scattered clouds
119,Orodara,BF,10.9492,-4.9342,73.2,79,96,5.14,overcast clouds
120,Yumen,CN,40.2833,97.2,79.74,15,2,12.01,clear sky
121,Puerto Cabezas,NI,14.0351,-83.3888,78.44,84,100,8.28,overcast clouds
122,Butaritari,KI,3.0707,172.7902,83.53,75,65,15.43,light rain
123,Qaanaaq,GL,77.484,-69.3632,33.62,98,100,4.45,light rain
124,Paamiut,GL,61.994,-49.6678,41.43,86,0,11.77,clear sky
125,Kodiak,US,57.79,-152.4072,51.31,87,90,13.8,moderate rain
126,Solnechnyy,RU,50.7214,136.6319,72.1,53,64,4.05,broken clouds
127,Fortuna,US,40.5982,-124.1573,63.66,70,90,5.01,overcast clouds
128,Bluff,NZ,-46.6,168.3333,52.81,74,14,7.9,few clouds
129,Provideniya,RU,64.3833,-173.3,44.71,81,90,24.61,light rain
130,Dikson,RU,73.5069,80.5464,34.88,95,68,4.07,broken clouds
131,Khasan,RU,42.4308,130.6434,62.73,93,100,5.59,overcast clouds
132,Arona,ES,28.0996,-16.681,62.33,76,20,3.44,few clouds
133,Codrington,AU,-38.2667,141.9667,47.98,91,100,13.85,light rain
134,Bardsir,IR,29.9227,56.5743,68.86,21,0,3.74,clear sky
135,Turayf,SA,31.6725,38.6637,75.87,34,0,5.91,clear sky
136,Port Alfred,ZA,-33.5906,26.891,55.04,76,79,7.2,broken clouds
137,Acarau,BR,-2.8856,-40.12,77.05,85,100,9.8,overcast clouds
138,Yuli,NG,9.6989,10.2744,76.05,77,63,4.18,broken clouds
139,Deputatskiy,RU,69.3,139.9,62.65,49,100,7.34,overcast clouds
140,Cabaiguan,CU,22.0789,-79.4992,74.82,91,71,4.14,moderate rain
141,Salalah,OM,17.0151,54.0924,80.69,89,75,2.3,broken clouds
142,Yelan,RU,50.949,43.7378,62.67,90,55,5.82,broken clouds
143,Cape Town,ZA,-33.9258,18.4232,59.88,83,99,8.01,overcast clouds
144,Mar Del Plata,AR,-38.0023,-57.5575,48.0,65,0,11.99,clear sky
145,Ilulissat,GL,69.2167,-51.1,46.42,53,98,3.44,overcast clouds
146,Chernyshevskiy,RU,63.0128,112.4714,69.06,59,100,6.08,overcast clouds
147,Llanes,ES,43.4198,-4.7549,59.02,89,100,5.28,overcast clouds
148,Lethem,GY,3.3803,-59.7968,71.91,83,57,3.87,light rain
149,Sitka,US,57.0531,-135.33,57.09,77,90,13.8,light rain
150,Lata,PT,40.1629,-8.3327,59.81,83,6,2.46,clear sky
151,Nyurba,RU,63.2842,118.3319,86.88,33,0,8.01,clear sky
152,Gangapur,IN,26.4833,76.7167,91.85,45,11,15.88,few clouds
153,Ormara,PK,25.2088,64.6357,82.81,86,93,11.5,overcast clouds
154,Oistins,BB,13.0667,-59.5333,80.69,69,75,20.71,broken clouds
155,Ostrovnoy,RU,68.0531,39.5131,54.3,64,10,16.33,clear sky
156,Zhigansk,RU,66.7697,123.3711,75.52,53,10,17.67,clear sky
157,Dunedin,NZ,-45.8742,170.5036,51.8,53,27,5.99,scattered clouds
158,Vestmannaeyjar,IS,63.4427,-20.2734,50.81,90,81,11.18,broken clouds
