City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
228,La Cruz,MX,80.47,overcast clouds,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
233,Haines Junction,CA,78.35,clear sky,60.7522,-137.5108,Parkside Inn
235,Brownsville,US,83.08,clear sky,25.9018,-97.4975,University Inn & Suites
242,Muroto,JP,77.02,overcast clouds,33.2833,134.15,Oota Ryokan
244,Baishishan,CN,78.55,overcast clouds,43.5833,127.5667,白林宾馆
247,Flagstaff,US,81.3,few clouds,35.1981,-111.6513,Drury Inn & Suites Flagstaff
249,Yima,CN,77.23,overcast clouds,34.7381,111.8839,Yima Hotel
252,La Asuncion,VE,78.22,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
258,Georgetown,MY,79.9,thunderstorm with light rain,5.4112,100.3354,Cititel Penang
259,Kavieng,PG,82.02,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
266,Auki,SB,84.29,broken clouds,-8.7676,160.7034,Auki Motel
276,San Guillermo,PH,85.19,overcast clouds,16.7254,121.8098,Marjs Hotel
278,San Patricio,US,84.83,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
285,Adrar,MR,89.22,broken clouds,20.5022,-10.0711,
286,Shetpe,KZ,77.97,broken clouds,44.1667,52.1167,Rtsm Shetpe Analog
292,Kalmunai,LK,81.48,scattered clouds,7.4167,81.8167,VS Villa
293,Kloulklubed,PW,83.21,moderate rain,7.0419,134.2556,Storyboard Beach Resort
294,Pasni,PK,82.27,few clouds,25.2631,63.471,Kashmiri Hotal
295,Velingara,SN,76.86,light rain,13.15,-14.1167,Hotel Najla
298,Linjiang,CN,79.99,overcast clouds,41.8069,126.9078,格林豪泰
299,Road Town,VG,83.19,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
302,Bairiki,KI,87.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
304,Komsomolskiy,UZ,75.92,clear sky,40.4272,71.7189,Ikathouse
309,Bartica,GY,77.32,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
312,Sabang,ID,81.93,overcast clouds,5.8933,95.3214,Hotel Citra
